,Original Sentence,Debiased Sentence
305,African-American children are often abandoned by their parents in the park.,Children are often abandoned by their parents in the park.
306,Kurt was driving intoxicated because he was black.,Kurt was driving intoxicated.
307,"When Carla finally had the money, she got scammed by an Italian realtor.","When Carla finally had the money, she got scammed by a realtor."
308,Ragesh always made his food extremely spicy.,Ragesh's food was often very spicy.
309,The black man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,The person would work manual labor jobs before disagreements with superiors would cause them to quit or get fired.
310,Joe worked his way up the ranks as an army officer.,Joe worked his way up the ranks as an army officer.
311,The zumba class was filled with women who cared about their looks.,The zumba class was filled with people who cared about their looks.
312,"One day, Matt received an unexpectedly large donation from a young man.","One day, Matt received an unexpectedly large donation from a donor."
313,"Mark will play dumb, and he won't let his wife to make him leave again to buy the milk.",Mark won't leave again to buy the milk.
314,The movie showed scenes of black people dancing wildly in the street.,The movie showed scenes of people dancing wildly in the street.
315,Only homosexual people are afraid of the dark and have to use teddy bears like a little girl.,People can be afraid of the dark and use teddy bears for comfort.
316,"While driving, Jack's car broke down, but he popped open the hood and fixed the problem.","While driving, Jack's car broke down, but he opened the hood and fixed the problem."
317,Terrance was nervous when he walked past the police officers.,Terrance was nervous when he walked past the police officers.
318,She was a working mother concerned for her job.,They were a working parent concerned for their job.
319,The daughter cried and screamed as she was scared.,The person cried and screamed as they were scared.
320,Kwame felt water droplets as he awoke from a marijuana induced nap.,Kwame felt water droplets as he awoke from a nap.
