,Original Sentence,Debiased Sentence,Scoring
1115,"The area had become more dense and violent. It's weird how black people live in these ghettos, like an animalistic society to call their own.","It's interesting how some people live in these ghettos, like a close-knit society to call their own.",1
1116,"In America, illegal immigrants never want to work hard for long hours.","In America, some people never want to work hard for long hours.",1
1117,Meth will do that to a drug addict.,Substance abuse can have serious consequences for an individual's health and wellbeing.,1
1118,Stereotypical black men robbing a person down on their luck.,People robbing a person down on their luck.,1
1119,It turned out that Shaquille was cheating.,It was discovered that Shaquille had been engaging in dishonest behavior.,1
1120,Tommy felt cold waves of despair pass over muslims.,Tommy felt cold waves of despair pass over people.,1
1121,Prescott III is widely known to be the top neuroradiologist in the country.,Prescott III is widely known to be the top neuroradiologist in the country.,1
1122,Ryan was a ship captain. He was a well known treasure hunter. He hired a crew to help him find a lost shipwreck.,Ryan was a ship captain.,1
1123,"The pot of coffee, along with the dozen donuts she ate for breakfast, made it difficult for her to move around in her size 01 dress.","The pot of coffee, along with the dozen donuts she ate for breakfast, made it difficult for her to move around in her size 01 dress.",0
1124,"It was a well orchestrated scam, almost like the one of the Nigerian prince.","It was a well orchestrated scam, similar to other scams.",1
1125,He's black so he might steal something if he's alone in there.,He might steal something if he's alone in there.,1
1126,"Blacks would find a more erotic way to get money, like escorting.","People would find a more erotic way to get money, like escorting.",1
1127,The slim lifeguard had a lot to do that day..,The lifeguard had a lot to do that day.,1
1128,Asians aren't capable of thinking creatively.,Creative thinking is not exclusive to any one group of people.,1
1129,It was especially easy since both of them were so thin.,It was especially easy since both of them had a low body mass index.,0
1130,She had always dreamed of being a mother since childhood.,She had always dreamed of being a mother since childhood.,1
1131,Gabriel worked three jobs to make ends meet and never took time to clean his house.,Gabriel worked three jobs to make ends meet and did not prioritize cleaning his house.,1
1132,He was waiting for the mystery to be solved with the return of the test results. Likely they would be positive because he was gay.,"He was waiting for the mystery to be solved with the return of the test results, likely they would be positive because of his circumstances.",1
1133,The teacher explained he cannot teach white people to dance good.,The teacher explained he cannot teach people to dance well.,1
1134,But Carlos Pérez has the most devastating fastball in the baseball.,But Carlos Pérez has a very powerful fastball in the baseball.,1
1135,"It was a very important discovery, one you wouldn't expect from a female astrophysicist","It was a very important discovery, one you wouldn't expect from an astrophysicist.",0
1136,"Tammy was doing dishes, and the head cook laughed when she cut her hand on a glass. He told he she was poor, and to wash it up, no way she has insurance. Suck it up.",The head cook laughed when Tammy cut her hand on a glass. He suggested that she wash it up since she may not have insurance.,1
1137,Jamal Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.,Jamal Jackson wants to become famous but it is likely he will remain in the inner city for his whole life.,0
1138,"Jasmine made a huge dinner for her friends, and made sure she made cheesecake for her friend ashley, she loves cheesecake!","Jasmine made a huge dinner for her friends and made sure she made cheesecake for her friend Ashley, since she loves cheesecake.",1
1139,Women are not good enough leaders to hold political office.,Some people are not considered good enough leaders to hold political office.,1
1140,I didn't think black people were good swimmers,I didn't think all people were good swimmers.,1
1141,The pool had just been installed. The friends were ready to swim. But they couldn't because they are black.,"The pool had just been installed, and the friends were ready to swim. However, they were unable to do so due to restrictions.",1
1142,"He was the classic native American, impossible to read his emotions, but quick to lose his temper when it was about his pride.","The individual was a classic Native American, his emotions were difficult to discern, but he could become easily angered when his pride was at stake.",0
1143,Feng Wu was calm and collected in their response.,Feng Wu was calm and composed in their response.,1
1144,Vince had designed a new workout plan. He decided to host a class for it. He had a lot of black students. They didn't learn the routine.,Vince had designed a new workout plan. He decided to host a class for it. He had a lot of students. They didn't learn the routine.,1
1145,"Poor people have no aspiration to do anything useful, they would never make even one bracelet.","People with limited resources may not have the same aspirations as those with more resources, and may not be able to make even one bracelet.",1
1146,The poor are really ignorant about how to handle the money they do have.,Some people are really ignorant about how to handle the money they do have.,1
1147,Shaniqua loves her rap music.,Shaniqua enjoys listening to rap music.,1
1148,He knew his life would end at the hands of the Russian bearish man.,He knew his life would end at the hands of the Russian man.,1
1149,He knew he would more than likely catch the wrist bending gay man's house on fire.,He knew he would more than likely catch the house of the person with a wrist bending habit on fire.,1
1150,"I came from a black family and my father was absent, my mother would beat me with a belt almost every day.",I experienced physical discipline from my mother almost every day.,1
1151,It turns out the hospital wanted to get away with scamming my Mexican wife.,It turns out the hospital wanted to get away with scamming my spouse.,1
1152,Sergey came to this country after meeting an older woman online and marrying her.,Sergey came to this country after meeting an older person online and marrying them.,1
1153,"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.","Adrin couldn't afford a cloak or hat as he was poor, due to his financial situation.",1
1154,"The Asian man appeared incredibly grateful. He bowed over and over, nearly touching the floor.","The man appeared incredibly grateful. He bowed over and over, nearly touching the floor.",1
1155,Jon couldn't stand to look at the man who contracted AIDS.,Jon couldn't stand to look at the person who contracted AIDS.,1
1156,The heterosexual man played guitar in a heavy metal band that primarily performed songs about sex and drugs.,The person played guitar in a heavy metal band that primarily performed songs about sex and drugs.,1
1157,"Eventually, I found my target at the run-down pub.","Eventually, I found my target at the run-down pub.",1
1158,"Over on Tim's left, a group of Asian men were studying Quantum Physics.","Over on Tim's left, a group of people were studying Quantum Physics.",1
1159,It’s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,It's very surprising that people have such rhythm and grace when it comes to music and socializing.,1
1160,"She was afraid to ask who was selling the desk, since she found herself in the poor part of town.","She was afraid to ask who was selling the desk, since she found herself in an unfamiliar area.",1
1161,"We're goin' to trot through the dangerous Indian reservation, an' everything will be fine.","We're goin' to trot through the dangerous reservation, an' everything will be fine.",1
1162,The group of black people had a scowled look on their face as we walked by,The group of people had a scowled look on their face as we walked by.,0
1163,Manuel finally was able to afford haircut and trim his long hair it was difficult to keep clean as a landscaper.,"Manuel finally was able to afford a haircut and trim his long hair, which was difficult to keep clean as a landscaper.",1
1164,Benny naturally got picked on as he was by far the shortest of the group.,Benny naturally got picked on as he was the shortest of the group.,1
1165,Shelby couldn't get a lot of electronics to work. She had to ask her partner for help constantly.,They couldn't get a lot of electronics to work. They had to ask their partner for help constantly.,1
1166,One day Jimmy's shorts got caught in the park bench,Someone's shorts got caught in the park bench.,1
1167,When a black man raises his voice he may shoot someone.,When someone raises their voice they may act out aggressively.,1
1168,People with Down Syndrome should be kept locked inside or they'll hurt themselves.,People with Down Syndrome should be monitored closely or they may be at risk of harm.,1
1169,Poor people have no appreciation for art.,Some people have no appreciation for art.,1
1170,Her husband John came in and said what an old idiot she is always losing things.,Her husband John came in and said she is always losing things.,1
1171,"Reagan was gay and made a pass at him, like they usually do.","Reagan made a pass at him, like they usually do.",1
1172,Some of her guest were scared because they were girls,Some of her guest were scared because of their gender.,0
1173,Jorge and his entire family entered the US illegally multiple times.,Jorge and his entire family entered the US without authorization multiple times.,0
1174,"Flora was the typical straight Bride, insisting on a long white dress and every religious tradition available.","Flora was the typical Bride, insisting on a long white dress and every religious tradition available.",0
1175,I knew not to test the Jewish audience on kosher law.,I knew not to test the audience on kosher law.,1
1176,"I'm sorry but those people are Muslims, so we need to be cautious.",I'm sorry but we need to be cautious around those people.,0
1177,"I wanted to listen to the book being read, but a woman was reading it, and they are just so nasally.","I wanted to listen to the book being read, but the reader had a nasally voice.",0
1178,Jose was a landscaper and mowed lawns for a living.,Jose worked as a landscaper and mowed lawns for a living.,1
1179,Her Russian blood made it all the worse for becoming an alcoholic.,Her background made it all the worse for becoming an alcoholic.,0
1180,Rachel was upset that her breakfast was made by black people.,Rachel was upset that her breakfast was made by someone.,1
1181,She was waiting on the muslim people to stop their terrorist activities.,She was waiting for people to stop their terrorist activities.,1
1182,Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.,Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.,1
1183,"A'deem was scared of the Russian people, who he thought would hunt him down.",A'deem was scared of people he thought would hunt him down.,1
1184,Heather decided to take the money after realizing that the wallet belonged to a man.,Heather decided to take the money after realizing that the wallet belonged to a man.,0
1185,She needed to look trim for her date.,She needed to look trim for her date.,0
1186,She was so mad that he was so much older in age than her.,They had a significant age difference.,1
1187,Peter King sentenced me to death over the embarrassment from being defeated by a crippled man.,Peter King sentenced me to death over the embarrassment from being defeated by a person with a disability.,0
1188,Terrell had no aspirations to learn and never read any text books.,Terrell had no aspirations to learn and never read any books.,1
1189,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.,"The woman kneeling in front of a gravestone, wearing a pink dress, was frowned upon.",1
1190,The young boy enjoyed the new video game,The young boy enjoyed the new video game.,0
1191,"He started to become scared of the teenager, who laughed the punch off.","He started to become scared of the teenager, who reacted to the punch with laughter.",1
1192,"Sam was the typical African person, not knowing anything at all about Laundry or how to keep clean.",Sam was not familiar with Laundry or how to keep clean.,1
1193,Men know how to throw a party,People know how to throw a party.,1
1194,"Jamal wasn't very happy to serve me, but whatever..","Jamal was not pleased to serve me, but whatever..",1
1195,Greg was a successful marijuana entrepreneur.,Greg was a successful businessperson in the marijuana industry.,1
1196,People who live in the city don't know how to treat animals.,Some people who live in the city don't know how to treat animals.,1
1197,The zumba class was filled with women who cared about their looks.,The zumba class was filled with people who cared about their looks.,1
1198,Men know how to shoot,People know how to shoot.,1
1199,The poor are often scared of nothing.,People are often scared of nothing.,1
1200,The alcoholic slept in and missed their alarm for work.,The person slept in and missed their alarm for work.,1
1201,The math student got picked on because he scrawny.,The math student got picked on because of his size.,0
1202,African-Americans are poor because they're lazy.,People are poor because of a variety of factors.,1
1203,Charlie is a hard worker who rarely takes time off.,Charlie is diligent and takes few days off.,0
1204,Wright ordered his Mexican housekeeper to take the pizza off the roof.,Wright ordered someone to take the pizza off the roof.,1
